Mel,37,16,49,32,1
Jill,37,36,6,9,3
Joe,20,23,48,12,3
Joe,31,14,21,4,3
Sam,21,28,32,20,5
Jill,9,15,23,12,5
Sam,46,23,2,30,1
Joy,32,44,38,17,5
Sam,38,18,35,45,1
Joy,46,21,22,33,1
Jill,14,11,1,48,4
Jill,31,10,40,7,2
Jill,41,23,48,10,3
Mel,39,10,44,38,4
Joy,13,38,20,1,3
Sam,29,37,32,35,1
Jill,6,38,10,37,5
Sam,4,34,21,22,1
Joe,35,44,3,31,1
Jill,20,17,34,29,4
Joe,50,33,47,36,1
Joy,43,38,10,35,5
Joe,50,42,20,22,4
Mel,43,32,36,14,4
Jill,20,3,1,22,1
Jill,3,24,12,19,5
Joy,10,5,45,30,2
Sam,39,13,13,13,4
Joy,26,2,20,8,4
Joy,13,8,1,11,2
Sam,29,1,47,27,5
Mel,35,26,2,13,1
Joe,48,21,5,48,2
Jill,8,40,23,25,2
Jill,10,5,29,28,3
Mel,44,14,36,20,3
Joe,24,11,41,40,4
Joe,25,42,8,21,3
Sam,35,14,9,24,3
Joy,5,35,36,16,2
Mel,31,48,46,32,5
Sam,2,2,31,2,2
Mel,21,36,15,33,1
Joe,9,30,21,20,5
Mel,26,47,8,29,2
Jill,44,13,40,14,3
Joy,35,34,5,7,3
Joy,28,20,50,28,3
Joy,20,18,20,50,1
Joy,45,45,23,43,3
Joy,33,21,45,27,5
Sam,43,39,26,50,5
Sam,19,28,11,4,3
Sam,7,36,31,42,3
Jill,38,6,10,31,5
Sam,23,13,13,18,2
Mel,42,10,35,10,1
Sam,44,31,5,2,2
Jill,9,12,22,22,1
Mel,34,28,34,21,3
Joy,2,5,8,42,5
Jill,28,43,18,22,2
Mel,23,2,9,14,2
Mel,45,4,48,7,2
Mel,7,29,10,45,5
Mel,22,17,39,36,5
Joe,36,9,34,22,3
Joe,49,14,26,36,5
Joy,16,6,20,37,3
Mel,32,12,7,33,3
Joe,21,16,33,29,2
Sam,3,37,7,3,5
Joe,32,17,45,44,4
Sam,28,41,15,43,1
Jill,30,34,34,25,1
Mel,44,33,27,39,5
Jill,1,38,1,41,2
Joe,5,29,1,23,3
Joe,41,9,50,16,1
Joe,35,4,28,17,2
Jill,30,46,42,41,2
Joy,8,25,6,34,1
Jill,3,43,29,48,1
Sam,15,34,7,29,1
Mel,26,23,20,29,3
Joy,9,5,35,10,2
Joy,16,19,49,50,1
Mel,17,19,11,46,1
Jill,12,25,20,44,4
Jill,32,17,46,21,2
Mel,47,49,36,8,3
Sam,45,24,28,3,3
Jill,28,35,3,30,4
Mel,13,14,14,7,1
Sam,43,31,25,2,1
Sam,44,41,22,11,5
Jill,24,45,44,13,4
Joy,38,6,22,43,1
Mel,1,17,18,26,1
Joy,36,24,1,41,2
Mel,20,3,31,32,4
Sam,40,44,34,25,2
Joy,1,50,5,19,1
Joy,6,23,50,33,3
