Mel,7,20,14,31,3
Joe,43,34,50,6,3
Joe,27,6,36,16,5
Mel,28,1,18,31,1
Mel,50,37,27,37,3
Joy,25,48,34,15,2
Sam,32,7,25,17,4
Sam,5,7,33,34,1
Mel,39,19,6,8,1
Mel,44,47,37,24,3
Jill,50,12,6,3,3
Jill,37,7,46,26,1
Mel,3,24,17,48,4
Sam,6,29,38,23,4
Jill,1,1,7,28,5
Jill,12,35,10,13,4
Mel,49,11,48,33,5
Sam,37,29,6,48,1
Joe,27,14,4,4,4
Joe,19,11,25,3,2
Sam,19,36,4,25,4
Joe,31,49,22,16,3
Joy,36,39,48,13,2
Jill,14,30,8,9,4
Joy,13,23,27,43,4
Joe,19,11,34,30,3
Joy,29,8,22,17,3
Joy,26,33,38,13,2
Sam,4,41,12,49,4
Joe,4,18,31,43,2
Joy,35,9,46,11,4
Mel,17,47,10,49,1
Mel,21,32,49,11,2
Joe,8,30,11,21,4
Mel,14,49,3,19,3
Sam,35,26,13,11,4
Jill,41,1,42,4,3
Mel,46,20,10,26,4
Jill,11,44,40,10,1
Jill,41,28,18,23,1
Joe,27,49,40,3,3
Mel,30,33,46,14,2
Joy,47,29,46,29,1
Mel,43,13,25,3,3
Jill,15,11,16,45,3
Mel,16,48,2,9,1
Mel,23,29,16,39,3
Joe,16,12,14,46,2
Mel,31,43,27,33,2
Jill,30,22,9,36,1
Sam,36,35,17,33,1
Joe,15,27,16,31,3
Jill,13,44,35,18,1
Joe,28,17,33,43,1
Joe,42,46,49,12,1
Jill,44,23,33,31,3
Jill,18,49,17,36,2
Sam,5,44,37,50,1
Joe,50,16,34,48,5
Jill,11,46,8,19,4
Joe,18,42,13,25,1
Jill,47,24,33,33,4
Joy,38,10,5,6,1
Mel,38,37,39,44,5
Mel,25,33,47,28,4
Sam,10,3,4,1,2
Joe,13,37,12,37,1
Jill,23,30,39,6,1
Sam,33,13,11,48,5
Sam,34,40,32,11,2
Joy,50,4,49,8,4
Sam,35,30,30,38,5
Jill,15,44,41,36,5
Joe,6,37,45,7,2
Sam,48,12,40,34,1
Mel,7,15,6,29,3
Mel,41,31,46,35,5
Mel,10,21,41,12,1
Jill,16,29,34,37,5
Sam,30,4,34,21,3
Mel,37,16,48,3,3
Mel,50,8,12,40,3
Mel,14,38,48,15,3
Jill,18,23,33,43,4
Mel,11,20,38,6,3
Sam,45,39,35,50,3
Joe,4,49,37,49,1
Jill,34,48,50,18,5
Joe,37,2,39,27,4
Joy,28,2,24,33,1
Joe,9,26,16,47,5
Joy,32,18,35,32,1
Mel,11,47,9,38,1
Mel,36,34,38,34,4
Joy,19,15,19,35,5
Mel,45,34,11,18,2
Joy,21,38,10,14,5
Joy,37,43,20,24,2
Sam,31,43,47,15,5
Sam,5,33,35,11,5
Joy,30,17,35,43,3
Sam,39,15,34,29,5
Sam,20,11,15,47,5
Jill,22,33,2,20,3
Mel,6,3,38,13,2
Sam,15,43,9,5,2
Jill,22,31,42,46,1
Mel,37,37,10,40,2
Joy,21,34,22,46,3
Jill,23,3,30,19,3
Joy,20,29,25,34,2
Joy,17,40,48,28,2
Sam,24,33,21,4,4
Joy,20,22,20,5,4
Mel,46,26,8,14,4
Mel,47,35,5,11,5
Sam,10,44,28,26,3
Sam,25,46,41,28,2
Joy,24,5,10,22,2
Joy,50,8,2,2,5
Joe,24,33,29,45,3
Joe,24,47,13,12,1
Jill,29,48,45,47,5
Mel,46,29,24,8,2
Jill,43,22,47,18,2
Sam,48,33,18,6,5
Joe,41,3,37,31,2
Sam,43,6,14,12,2
Joy,45,31,35,32,3
Jill,45,34,48,14,5
Mel,10,50,11,11,2
Joy,33,26,9,6,1
Joe,31,1,46,1,2
Jill,50,31,35,16,5
Sam,14,17,33,35,2
Joe,14,7,38,3,5
Sam,43,34,35,50,5
Mel,48,8,8,30,1
Joe,28,40,15,15,3
Sam,34,11,5,24,2
Sam,11,28,30,13,5
Joy,5,10,34,9,4
Joe,22,2,29,46,2
Sam,42,43,15,27,1
Joy,26,46,11,14,4
Jill,22,36,9,43,4
Joe,26,31,24,34,3
Jill,19,10,31,25,5
Jill,15,30,16,37,3
Jill,48,23,42,15,1
Joe,21,38,5,42,2
Jill,24,18,25,45,4
Mel,46,10,17,5,4
Joy,30,33,38,47,2
Sam,48,1,34,4,5
Mel,8,9,2,49,3
Mel,21,27,20,7,4
Sam,16,6,8,23,3
Mel,24,44,37,41,1
Mel,39,49,13,34,1
Mel,41,38,6,34,2
Joy,27,50,11,8,4
Jill,1,22,19,9,2
Mel,28,17,42,9,4
Joe,8,17,1,16,1
Mel,17,45,6,16,5
Joy,23,7,29,41,2
Sam,46,1,37,11,4
Mel,12,47,17,38,4
Joe,46,16,3,17,5
Sam,2,22,10,34,2
Joy,32,22,50,49,1
Mel,17,21,37,30,5
Joe,13,16,48,9,4
Mel,50,44,40,17,1
Jill,47,28,2,18,1
Joy,8,3,22,41,1
Joe,6,18,10,45,5
Joy,47,42,10,45,1
Joy,4,24,38,7,3
Sam,25,12,26,41,3
Joe,41,8,46,43,4
Jill,21,49,1,3,5
Joy,37,48,34,25,5
Jill,46,5,32,43,4
Joe,31,25,33,22,3
Joe,1,27,33,36,5
Jill,5,15,7,45,1
Sam,5,15,46,5,2
Jill,48,1,49,21,2
Jill,16,6,36,44,5
Joy,49,11,31,32,2
Sam,5,33,5,10,2
Joy,24,19,43,26,4
Joy,45,30,17,48,1
Mel,7,4,33,40,4
Jill,37,15,19,23,1
Joy,32,49,2,18,3
Joe,1,21,30,45,1
Mel,48,33,10,46,2
Sam,34,46,39,28,1
Jill,21,31,43,12,2
Mel,46,41,30,5,3
Joy,45,46,22,3,4
Joe,43,42,44,11,4
Joy,12,11,33,10,2
Joy,45,41,35,39,3
Mel,25,3,25,17,2
Mel,45,44,40,19,3
Joy,35,45,4,17,3
Jill,18,43,3,18,3
Mel,35,2,36,29,4
Sam,28,31,19,36,1
Joe,33,8,6,19,5
Jill,16,2,12,21,5
